#vocabulary_version: dfam-rm-2026.1-draft
#vocabulary_authority: Dfam / RepeatMasker class notation, arranged on the Wicker et al. (2007) hierarchy
#vocabulary_status: PROVISIONAL -- superseded when the unified Dfam/Repbase classification is released
#
# CLASS VOCABULARY MAP
#
# Maps a raw class/family label as emitted by a tool onto a canonical
# hierarchical path. This file is INPUT, not logic: the pipeline reads it at
# `harmonize` time and never hardcodes a class name. Re-mapping is a re-run of
# harmonize + summarize; the per-base segmentation is class-agnostic and is not
# invalidated.
#
# Raw labels are ALWAYS preserved verbatim alongside the canonical path in every
# output, so no information is lost to a mapping decision and any mapping can be
# audited or reversed after the fact.
#
# CANONICAL PATH GRAMMAR
#   repeat : {TE|tandem|multigene|artefact} : {ClassI|ClassII} : order : superfamily
#   Truncate at the deepest level actually supported by the label. A label that
#   only says "DNA" maps to repeat:TE:ClassII and stops -- it does not guess an order.
#
# COLUMNS
#   raw_label      Label as it appears in the tool's output, matched case-insensitively.
#                  A trailing `*` makes it a prefix rule (longest match wins), which
#                  absorbs the endless RepeatMasker subfamily suffixes.
#   tool_id        Tool this rule applies to, or `*` for all tools.
#   canonical_path Canonical path, `:`-separated.
#   canonical_v2   Reserved for the unified Dfam/Repbase classification. Left blank
#                  until it lands; when populated, both vocabularies can be carried
#                  simultaneously so tracks can be rebuilt under either.
#   is_te          yes|no|unknown -- answers design question 1.3 directly.
#   confidence     high|medium|low -- how certain the mapping is. `low` entries are
#                  the ones most worth your review.
#   note           Rationale, and any place the tool's usage diverges from Dfam's.
#
raw_label	tool_id	canonical_path	canonical_v2	is_te	confidence	note
# ---------------------------------------------------------------- RepeatMasker / Dfam: Class I, LTR
LTR	*	repeat:TE:ClassI:LTR		yes	high	Order only; no superfamily asserted.
LTR/Gypsy*	*	repeat:TE:ClassI:LTR:Gypsy		yes	high	Ty3/Gypsy. Dfam is migrating the name to Ty3; canonical_v2 will likely read Ty3.
LTR/Ty3*	*	repeat:TE:ClassI:LTR:Gypsy		yes	high	Newer Dfam name for Gypsy; folded to the same node so old and new libraries agree.
LTR/Copia*	*	repeat:TE:ClassI:LTR:Copia		yes	high	Ty1/Copia.
LTR/Ty1*	*	repeat:TE:ClassI:LTR:Copia		yes	high	Newer Dfam name for Copia.
LTR/Pao*	*	repeat:TE:ClassI:LTR:BelPao		yes	high	Bel/Pao.
LTR/Bel*	*	repeat:TE:ClassI:LTR:BelPao		yes	high	Bel/Pao.
LTR/ERV1*	*	repeat:TE:ClassI:LTR:ERV		yes	high	Retroviral superfamily; ERV1 subgroup.
LTR/ERVK*	*	repeat:TE:ClassI:LTR:ERV		yes	high	
LTR/ERVL*	*	repeat:TE:ClassI:LTR:ERV		yes	high	Includes ERVL-MaLR.
LTR/ERV*	*	repeat:TE:ClassI:LTR:ERV		yes	high	Catch-all for remaining ERV subgroups.
LTR/Retroviral*	*	repeat:TE:ClassI:LTR:ERV		yes	medium	Rare label; treated as ERV.
LTR/DIRS*	*	repeat:TE:ClassI:DIRS		yes	medium	RepeatMasker files DIRS under LTR; Wicker makes it a separate order. Canonical path follows Wicker.
