raw_label	tool_id	canonical_path	canonical_v2	is_te	confidence	note	depth
LTR	*	repeat:TE:ClassI:LTR		yes	high	Order only; no superfamily asserted.	4
LTR/Gypsy*	*	repeat:TE:ClassI:LTR:Gypsy		yes	high	Ty3/Gypsy. Dfam is migrating the name to Ty3; canonical_v2 will likely read Ty3.	5
LTR/Ty3*	*	repeat:TE:ClassI:LTR:Gypsy		yes	high	Newer Dfam name for Gypsy; folded to the same node so old and new libraries agree.	5
LTR/Copia*	*	repeat:TE:ClassI:LTR:Copia		yes	high	Ty1/Copia.	5
LTR/Ty1*	*	repeat:TE:ClassI:LTR:Copia		yes	high	Newer Dfam name for Copia.	5
LTR/Pao*	*	repeat:TE:ClassI:LTR:BelPao		yes	high	Bel/Pao.	5
LTR/Bel*	*	repeat:TE:ClassI:LTR:BelPao		yes	high	Bel/Pao.	5
LTR/ERV1*	*	repeat:TE:ClassI:LTR:ERV		yes	high	Retroviral superfamily; ERV1 subgroup.	5
LTR/ERVK*	*	repeat:TE:ClassI:LTR:ERV		yes	high		5
LTR/ERVL*	*	repeat:TE:ClassI:LTR:ERV		yes	high	Includes ERVL-MaLR.	5
LTR/ERV*	*	repeat:TE:ClassI:LTR:ERV		yes	high	Catch-all for remaining ERV subgroups.	5
LTR/Retroviral*	*	repeat:TE:ClassI:LTR:ERV		yes	medium	Rare label; treated as ERV.	5
LTR/DIRS*	*	repeat:TE:ClassI:DIRS		yes	medium	RepeatMasker files DIRS under LTR; Wicker makes it a separate order. Canonical path follows Wicker.	4
LTR/Ngaro*	*	repeat:TE:ClassI:DIRS		yes	medium	Ngaro is a DIRS-group element; same divergence from RM's filing as above.	4
LTR/Viper*	*	repeat:TE:ClassI:DIRS		yes	low	Viper elements, DIRS group. Rare; review if abundant.	4
LTR/Unknown	*	repeat:TE:ClassI:LTR		yes	high	Order asserted, superfamily not.	4
LTR/unknown	*	repeat:TE:ClassI:LTR		yes	high	Case variant kept explicit for readability.	4
LINE	*	repeat:TE:ClassI:LINE		yes	high		4
LINE/L1*	*	repeat:TE:ClassI:LINE:L1		yes	high		5
LINE/L2*	*	repeat:TE:ClassI:LINE:Jockey		yes	medium	L2 belongs to the Jockey superfamily in the Wicker scheme.	5
LINE/CR1*	*	repeat:TE:ClassI:LINE:Jockey		yes	medium	CR1 is Jockey-group; dominant LINE in many fish and birds, so this rule matters here.	5
